A_1,A_2,A_3,A_4,W_1,W_2,W_3,W_4,sensor_1,sensor_2,sensor_3,sensor_4,sensor_5,sensor_6,sensor_7,sensor_8,sensor_9,sensor_10,sensor_11,sensor_12,sensor_13,sensor_14,virtual_sensor_1,virtual_sensor_2,virtual_sensor_3,virtual_sensor_4,virtual_sensor_5,virtual_sensor_6,virtual_sensor_7,virtual_sensor_8,virtual_sensor_9,virtual_sensor_10,virtual_sensor_11,virtual_sensor_12,virtual_sensor_13,virtual_sensor_14,RUL
2.0,1.0,3.0,1.0,10005.0,0.44849699735641496,76.90374755859379,502.42091787263496,600.148033546419,1438.49818702827,1818.02771350133,1228.12984765326,15.8062666085777,11.5770973738248,16.0469711762211,20.1266236294124,331.293679212806,336.631826825589,12.629360511796902,2160.9264157182997,8591.37348973231,3.8553372390117904,2797.72710599591,352.494059503235,62.7687512116434,2420.5577383376603,228.48692688036098,228.487064567906,26.4987845020838,15.8992707012503,215.84485084215,228.41166561741298,16.648832953975102,9.89813025954528,25.376143507004105,41.89398992887861,74
2.0,1.0,3.0,1.0,10013.0,0.447741001844406,76.90374755859379,502.326113590505,600.0558936586959,1438.3502075774402,1817.6826181925,1227.8791132066901,15.7954769644421,11.568235379821301,16.0360172227838,20.11321750773,331.109866818591,336.44674829998,12.6230329327197,2160.90933320916,8590.97286579277,3.85231924150024,2797.20932847509,352.300259999979,62.7347171978571,2418.93511263176,228.382423502177,228.383504853265,26.486551510791895,15.8919309064751,215.74563374472197,228.307014299054,16.6392219639364,9.904926567649,25.3805488643494,41.8844337157704,74
2.0,1.0,3.0,1.0,10017.0,0.448937982320786,77.07952880859379,502.416067046446,600.210756400221,1439.1091012036902,1820.02062684481,1229.42252246181,15.8077468511299,11.574866169880199,16.0484739605379,20.1309558109744,331.753180966998,337.082502494467,12.637951274988,2161.8190621435,8593.0317446496,3.86620072510654,2800.73625528474,352.965971198395,62.851754527728794,2421.24566930357,228.651137559373,228.661083070144,26.5193404376607,15.9116042625964,216.019054028868,228.59227930120701,16.6498227484875,9.92350269456133,25.318848462709997,41.9538482489129,74
2.0,1.0,3.0,1.0,10024.0,0.449882984161377,77.07952880859379,502.469892669193,600.3697168633911,1439.2402301475101,1819.1883268410504,1228.53872555144,15.816359843571599,11.5781980800563,16.057218115301097,20.146716129401398,331.819136473957,337.16282752155496,12.6315094336106,2162.76866638191,8593.78154460542,3.86332795146393,2799.3523833257,353.050081174404,62.8730810630837,2422.94161546544,228.78694933601003,228.768624603597,26.532043781299897,15.9192262687799,216.121237811516,228.702994042596,16.6538121984463,9.90551778855479,25.3619807864497,41.9143415689098,74
2.0,1.0,3.0,1.0,10031.0,0.449378997087479,77.07952880859379,502.401270596784,600.298226668694,1439.06400388452,1818.9635395932605,1228.3890462895,15.807512638183502,11.5715933534704,16.0482361808969,20.1358882360964,331.62600287398203,336.96693603462603,12.6248717252304,2162.61954379107,8593.22019962958,3.8608178529216097,2799.03478494823,352.844959198561,62.83660043267921,2421.6089332526603,228.651684746615,228.653630993487,26.5184601611057,15.9110760966634,216.008508658261,228.58478798014,16.6490314987939,9.897464755334962,25.363993904151503,41.9115031694285,74
2.0,1.0,3.0,1.0,10040.0,0.447993010282516,77.07952880859379,502.24877800525803,600.132240152441,1438.78759799583,1818.56468089045,1228.1689786188,15.790096252483599,11.557944016911302,16.0305545710493,20.1132801479532,331.319000174733,336.655384098661,12.616794800922001,2162.39142329864,8592.37966003688,3.85659303911256,2798.4650030656103,352.51872680488,62.7781779289772,2418.7904741659304,228.46677023330898,228.469610893686,26.496722786816697,15.89803367209,215.83087072183,228.39725206321896,16.6300320172925,9.90918372746324,25.3642230775492,41.9044332908259,74
2.0,1.0,3.0,1.0,10044.0,0.448749005794525,77.07952880859379,502.297383736166,600.153021669297,1438.80233806037,1818.88115973096,1228.4413262564901,15.792666691468801,11.5612836241755,16.033164153775402,20.115416381406,331.339635328259,336.672634796914,12.618246710821301,2162.17272248601,8592.301697369929,3.8580252843293694,2798.97282173308,352.53679036326105,62.77977176658261,2419.19699596507,228.460392142951,228.461991438145,26.4958227386309,15.897493643178501,215.823301100756,228.38864495645,16.6394628149985,9.90575341403717,25.354068228270894,41.9173848906605,74
2.0,1.0,3.0,1.0,10048.0,0.449819982051849,77.07952880859379,502.376489548415,600.241422703737,1438.94699176349,1818.99736419648,1228.4462813746302,15.8000911430589,11.567045508586302,16.0407016680801,20.1253828565433,331.464924330403,336.80062043231703,12.6193570225578,2162.36694771269,8592.77014404462,3.8594384433701,2799.12208833339,352.67080673541,62.80412024185289,2420.59684975204,228.54463472197202,228.539219784142,26.5049453370017,15.902967202201,215.898999609461,228.468250675693,16.6543416773315,9.901053510096537,25.356843826114503,41.91688886599329,74
2.0,1.0,3.0,1.0,10056.0,0.448937982320786,77.07952880859379,502.26992906388,600.148340971881,1438.77620215594,1818.52845911392,1228.08435583386,15.788539013993098,11.5572523252875,16.0289736182671,20.1115821805024,331.255580009001,336.59113660502896,12.611524708803596,2162.413322041,8592.335539321171,3.8557449099761,2798.40984966393,352.45145194243895,62.7662221668804,2418.8740064957997,228.429525493525,228.42863325358,26.491882303079095,15.8951293818475,215.791702666209,228.355596085671,16.6429669725258,9.904451322675481,25.366196649194396,41.9032388089487,74
2.0,1.0,3.0,1.0,10059.0,0.44887501001358,77.07952880859379,502.25400367178594,600.11125566101,1438.68925467245,1818.6072210769198,1228.19726870151,15.7852208501664,11.555538188755,16.0256049240268,20.1065598335034,331.174155267515,336.506138669303,12.610263964607901,2162.17969374281,8591.98473703293,3.85540792915038,2798.5605998011492,352.36244886838,62.74924359109861,2418.28842313584,228.364580212209,228.367874386713,26.4847051619305,15.8908230971583,215.73224852040198,228.29268248787895,16.642191909409494,9.90301318321011,25.359971237143107,41.9098783047544,74
